0000 0000 045e 0000
0000 0000 0000 01b5
012f 0000 0000 0138
0240 0000 0000 01fd
0289 0000 0000 00f9
0089 0000 0000 0069
0000 0000 0000 0000
0000 0000 0000 0000
0515 08f6 0000 0000
0ba8 00ee 0000 0000
034a 0000 06e1 0000
0000 0000 0000 07fe
0000 0000 0000 05cd
0000 0000 0000 0367
000e 0000 0000 0138
0000 0000 0000 02eb
0000 0000 0000 032a
0007 0000 0000 01df
0000 0000 0029 013a
0000 0000 00ef 0191
0000 0000 00a4 0209
0000 0000 0000 01a2
0000 0000 0000 0031
00b7 0000 0000 0000
0e68 2d06 0000 0000
134a 114e 0b6c 0000
0101 029a 0000 0000
0288 0000 00cb 0000
02f8 03c2 0000 0000
04e6 0000 011e 0000
0000 0000 0489 0000
0000 0000 0000 00a4
0242 0000 0000 0000
005f 0000 0000 015e
004c 0000 0000 018e
0000 0000 0000 00fe
0000 0000 0000 0047
015c 0000 0000 0000
0955 0c5e 0000 0000
0bcd 0000 0000 0000
0000 0000 0949 00a8
0000 0000 0000 082b
0000 0000 0031 059d
0000 0000 0000 0371
0000 0000 0000 00f3
00ae 0000 0000 0222
0304 0000 0000 02da
04b3 0000 0000 031d
032a 0000 0000 03d1
0000 0000 0000 02ff
0000 0000 0000 0284
0000 0000 0000 01a5
00de 0000 0000 004f
022c 0000 0000 0000
0d22 2fe8 0000 0000
1154 09f6 0e19 0000
0085 0336 0000 0000
0153 0000 0101 0000
033a 040e 0000 0000
064a 0000 0000 0000
005f 0000 046d 0000
0000 0000 0000 0000
0392 0000 0000 0000
0156 0000 0000 0183
00a5 0000 0000 01c5
00e6 0000 0000 01ae
0250 0000 0000 00b2
07fc 0000 0000 0000
0e53 0c77 0000 0000
0f5d 0000 0000 0000
0000 0000 073b 018f
0000 0000 0000 0962
0000 0000 0000 0688
0000 0000 0000 03ae
02db 0000 0000 00b0
021f 0000 0000 00fc
040e 0000 0000 00cd
0671 0000 0000 01bf
0820 0000 0000 04f0
06f0 0000 0000 04fb
03af 0000 0000 02e9
03ed 0000 0000 01bb
0433 0000 0000 0038
0441 0000 0000 0000
0df0 2f25 0000 0000
15ab 084d 09dc 0000
0460 00ec 0000 0000
037f 0000 0000 0000
03f7 033f 0000 0000
0664 0000 011b 0000
0000 0000 062c 0000
0000 0000 0000 0000
0165 0000 0000 0000
02d5 0000 0000 0178
028a 0000 0000 01a4
