--- INICIO DO CALCULO DO NEURONIO ---
Tempo (ps) | Endereco | Dado (hex) | Peso (hex) | Acumulador
  12700000 |      254 |         f2 |         30 |  10935
  12730000 |      255 |         de |         07 |  10263
  12760000 |      256 |         64 |         15 |  10025
  12790000 |      257 |         7d |         18 |  12125
  12820000 |      258 |         eb |         38 |  15125
  12850000 |      259 |         64 |         09 |  13949
  12880000 |      260 |         62 |         1e |  14849
  12910000 |      261 |         b0 |         1d |  17789
  12940000 |      262 |         b0 |         33 |  15469
  12970000 |      263 |         30 |         17 |  11389
  13000000 |      264 |         e6 |         2d |  12493
  13030000 |      265 |         e6 |         15 |  11323
  13060000 |      266 |         00 |         06 |  10777
  13090000 |      267 |         8f |         0e |  10777
  13120000 |      268 |         e6 |         1e |   9195
  13150000 |      269 |         1c |         1c |   8415
  13180000 |      270 |         1d |         f7 |   9199
  13210000 |      271 |         1d |         05 |   8938
  13240000 |      272 |         59 |         02 |   9083
  13270000 |      273 |         16 |         00 |   9261
  13300000 |      274 |         5a |         f8 |   9261
  13330000 |      275 |         59 |         f6 |   8541
  13360000 |      276 |         bd |         1b |   7651
  13390000 |      277 |         26 |         02 |   5842
  13420000 |      278 |         05 |         ed |   5918
  13450000 |      279 |         39 |         01 |   5823
  13480000 |      280 |         ff |         e9 |   5880
  13510000 |      281 |         eb |         20 |   5903
  13540000 |      282 |         36 |         02 |   5231
  13570000 |      283 |         36 |         fd |   5339
  13600000 |      284 |         5e |         e4 |   5177
  13630000 |      285 |         36 |         14 |   2545
  13660000 |      286 |         36 |         ea |   3625
  13690000 |      287 |         5e |         06 |   2437
  13720000 |      288 |         ee |         fa |   3001
  13750000 |      289 |         ee |         1c |   3109
  13780000 |      290 |         0f |         f6 |   2605
  13810000 |      291 |         ee |         0c |   2455
  13840000 |      292 |         ee |         2e |   2239
  13870000 |      293 |         29 |         22 |   1411
  13900000 |      294 |         62 |         24 |   2805
  13930000 |      295 |         62 |         1e |   6333
  13960000 |      296 |         87 |         26 |   9273
  13990000 |      297 |         c8 |         16 |   4675
  14020000 |      298 |         db |         27 |   3443
  14050000 |      299 |         21 |         13 |   2000
  14080000 |      300 |         ab |         18 |   2627
  14110000 |      301 |         db |         0b |    587
  14140000 |      302 |         21 |         ec |    180
  14170000 |      303 |         ab |         01 |   -480
  14200000 |      304 |         13 |         1e |   -565
  14230000 |      305 |         40 |         27 |      5
  14260000 |      306 |         0a |         13 |   2501
  14290000 |      307 |         fa |         ff |   2691
  14320000 |      308 |         87 |         3b |   2697
  14350000 |      309 |         cd |         e0 |  -4442
  14380000 |      310 |         53 |         63 |  -2810
  14410000 |      311 |         77 |         fd |   5407
  14440000 |      312 |         8e |         1d |   5050
  14470000 |      313 |         1a |         e3 |   1744
  14500000 |      314 |         77 |         3c |    990
  14530000 |      315 |         7f |         08 |   8130
  14560000 |      316 |         7f |         0d |   9146
  14590000 |      317 |         a4 |         e8 |  10797
  14620000 |      318 |         7f |         1e |  13005
  14650000 |      319 |         7f |         0b |  16815
  14680000 |      320 |         a4 |         14 |  18212
  14710000 |      321 |         c9 |         22 |  16372
  14740000 |      322 |         b0 |         4b |  14502
  14770000 |      323 |         6a |         15 |   8502
  14800000 |      324 |         e9 |         44 |  10728
  14830000 |      325 |         71 |         1d |   9164
  14860000 |      326 |         b5 |         2d |  12441
  14890000 |      327 |         97 |         11 |   9066
  14920000 |      328 |         97 |         12 |   7281
  14950000 |      329 |         c1 |         06 |   5391
  14980000 |      330 |         5a |         06 |   5013
  15010000 |      331 |         5a |         0a |   5553
  15040000 |      332 |         46 |         ed |   6453
  15070000 |      333 |         fd |         0a |   5123
  15100000 |      334 |         50 |         f4 |   5093
  15130000 |      335 |         da |         f3 |   4133
  15160000 |      336 |         fd |         11 |   4627
  15190000 |      337 |         f8 |         02 |   4576
  15220000 |      338 |         1e |         04 |   4560
  15250000 |      339 |         c3 |         f9 |   4680
  15280000 |      340 |         b7 |         c9 |   5107
  15310000 |      341 |         b7 |         27 |   9122
  15340000 |      342 |         77 |         0d |   6275
  15370000 |      343 |         a6 |         fb |   7822
  15400000 |      344 |         67 |         d6 |   8272
  15430000 |      345 |         61 |         07 |   3946
  15460000 |      346 |         49 |         f0 |   4625
  15490000 |      347 |         27 |         02 |   3457
  15520000 |      348 |         87 |         00 |   3535
  15550000 |      349 |         87 |         1a |   3535
  15580000 |      350 |         27 |         fb |    389
  15610000 |      351 |         d9 |         04 |    194
  15640000 |      352 |         d9 |         0f |     38
  15670000 |      353 |         31 |         f8 |   -547
  15700000 |      354 |         b8 |         32 |   -939
  15730000 |      355 |         ff |         1c |  -4539
  15760000 |      356 |         2b |         03 |  -4567
  15790000 |      357 |         40 |         c4 |  -4438
  15820000 |      358 |         ff |         1e |  -8278
  15850000 |      359 |         2b |         0b |  -8308
  15880000 |      360 |         c9 |         f6 |  -7835
  15910000 |      361 |         c9 |         90 |  -7285
  15940000 |      362 |         7b |         eb |  -1125
  15970000 |      363 |         e8 |         db |  -3708
  16000000 |      364 |         e8 |         d7 |  -2820
  16030000 |      365 |         39 |         09 |  -1836
